programming_id,students_id,language,problems_solved,assessments_completed,mini_project,certifications_earned,latest_project_score
1,1,Java,644,18,9,3,50
2,2,C#,1568,1,34,5,84
3,3,Swift,2636,1,21,2,93
4,4,Java,2431,18,41,9,82
5,5,Rust,1835,16,48,6,80
6,6,C#,1918,7,23,5,48
7,7,C++,2409,14,28,8,30
8,8,Rust,928,12,39,3,63
9,9,JavaScript,726,5,32,9,85
10,10,Go,7,17,43,4,93
11,11,C++,1669,13,45,1,30
12,12,Java,2996,15,5,8,44
13,13,PHP,2996,1,36,7,44
14,14,Java,1301,11,19,8,46
15,15,Rust,2781,16,40,0,46
16,16,C++,2783,6,49,4,73
17,17,SQL,613,1,28,1,76
18,18,Java,2083,3,18,2,57
19,19,Rust,473,17,25,8,48
20,20,C#,389,17,15,8,94
21,21,Rust,2951,1,30,6,95
22,22,PHP,581,7,40,7,57
23,23,Go,1031,5,18,2,39
24,24,SQL,981,10,39,4,65
25,25,Java,2970,19,3,1,74
26,26,SQL,514,20,35,3,79
27,27,C#,2803,9,39,0,72
28,28,Python,38,9,3,4,91
29,29,Go,74,4,46,1,69
30,30,C++,466,1,1,2,69
31,31,C#,1421,8,46,3,59
32,32,Swift,2031,17,18,6,100
33,33,C#,378,17,19,3,61
34,34,Python,38,17,12,7,46
35,35,Swift,156,7,29,6,58
36,36,Swift,2881,13,44,6,66
37,37,Java,2241,14,7,2,74
38,38,JavaScript,1948,19,5,10,84
39,39,Python,638,2,15,4,94
40,40,Rust,2122,20,6,0,82
41,41,PHP,842,2,20,1,31
42,42,JavaScript,2816,3,20,8,43
43,43,Python,2877,10,27,1,77
44,44,Go,2854,2,23,4,52
45,45,Swift,2608,9,21,0,70
46,46,JavaScript,1662,13,37,5,92
47,47,C++,2849,19,28,10,48
48,48,Rust,2548,15,36,0,33
49,49,C#,272,11,6,6,30
50,50,JavaScript,1052,16,24,10,94
51,51,Python,2607,5,44,3,36
52,52,Rust,385,1,5,5,42
53,53,JavaScript,2634,2,17,10,80
54,54,Rust,2634,14,10,0,91
55,55,Go,963,12,6,0,96
56,56,Rust,2673,5,5,10,81
57,57,Go,2224,12,4,0,56
58,58,PHP,1366,17,9,3,61
59,59,SQL,2066,2,24,0,98
60,60,C++,981,11,7,7,99
61,61,JavaScript,1962,11,30,10,83
62,62,SQL,1814,4,28,7,99
63,63,Python,17,19,46,7,67
64,64,Go,1345,7,5,7,72
65,65,Python,1725,18,41,8,86
66,66,Java,404,10,8,7,69
67,67,SQL,813,1,18,4,87
68,68,Swift,1283,19,49,0,52
69,69,Go,2227,13,28,0,44
70,70,SQL,268,13,15,6,80
71,71,Python,409,10,15,1,42
72,72,Go,393,10,7,3,46
73,73,C++,1300,15,16,0,41
74,74,Rust,2201,11,35,2,44
75,75,C++,2292,14,41,7,89
76,76,JavaScript,800,3,50,1,49
77,77,SQL,2385,8,14,7,84
78,78,Go,2945,15,7,8,72
79,79,C++,273,10,31,9,43
80,80,SQL,1814,18,3,10,52
81,81,Java,2945,1,44,4,100
82,82,Swift,289,7,46,4,31
83,83,Python,1237,7,18,8,100
84,84,JavaScript,324,15,5,3,60
85,85,PHP,191,5,6,6,59
86,86,PHP,110,20,11,5,100
87,87,JavaScript,1971,17,6,9,81
88,88,SQL,84,5,3,8,38
89,89,Rust,2871,18,49,0,47
90,90,JavaScript,1540,15,13,10,31
91,91,Go,1031,9,16,0,30
92,92,Go,2222,20,2,5,91
93,93,Swift,2306,8,9,10,97
94,94,C++,1940,20,9,2,93
95,95,JavaScript,2895,8,7,1,64
96,96,C#,379,7,47,8,62
97,97,Go,384,2,33,10,42
98,98,Java,314,12,24,3,56
99,99,Go,1036,2,6,9,81
100,100,Python,1080,9,42,4,62
101,101,Rust,2244,12,44,1,100
102,102,PHP,1449,10,42,2,96
103,103,JavaScript,371,15,26,7,40
104,104,C#,2927,20,7,1,39
105,105,Go,119,9,2,4,47
106,106,Swift,2158,2,29,4,75
107,107,SQL,446,1,44,2,81
108,108,JavaScript,1018,2,19,10,76
109,109,PHP,986,17,46,8,51
110,110,Go,1555,1,12,10,79
111,111,Go,1234,8,47,3,30
112,112,Swift,2606,15,40,9,97
113,113,Rust,61,5,9,4,80
114,114,SQL,1063,12,49,5,73
115,115,Python,1588,2,43,8,37
116,116,SQL,1571,9,2,6,83
117,117,C++,1024,15,35,10,50
118,118,Swift,812,13,46,10,40
119,119,SQL,568,3,9,3,48
120,120,PHP,1466,15,20,8,90
121,121,Swift,1526,17,20,9,39
122,122,Swift,2211,19,4,4,70
123,123,SQL,2208,3,19,10,35
124,124,Swift,1695,14,30,0,34
125,125,C++,2136,4,39,5,66
126,126,JavaScript,618,6,16,7,78
127,127,Java,1074,18,42,1,72
128,128,C++,2114,15,22,6,48
129,129,SQL,490,16,29,2,56
130,130,Java,2935,18,28,7,97
131,131,PHP,2341,19,20,0,82
132,132,Swift,2940,6,12,9,31
133,133,Go,651,14,13,10,34
134,134,Rust,1046,19,9,9,37
135,135,PHP,98,15,7,8,53
136,136,C#,2442,18,46,5,49
137,137,C++,1782,8,14,2,71
138,138,SQL,627,9,24,10,67
139,139,PHP,991,9,41,2,100
140,140,SQL,1308,5,41,0,94
141,141,Python,2710,9,46,8,51
142,142,Python,1224,1,20,8,53
143,143,JavaScript,268,12,42,8,39
144,144,SQL,1363,9,40,3,92
145,145,Rust,1468,9,43,4,49
146,146,C++,1240,8,43,0,90
147,147,PHP,1702,7,48,2,44
148,148,Python,417,5,31,10,74
149,149,SQL,1394,2,48,5,39
150,150,Python,1857,19,27,0,64
151,151,C++,901,19,37,7,57
152,152,Java,1780,19,1,0,35
153,153,SQL,957,4,30,5,83
154,154,Java,1272,12,37,10,51
155,155,Go,2107,11,39,2,73
156,156,Java,199,18,34,7,42
157,157,SQL,1572,12,24,1,65
158,158,JavaScript,2850,11,23,2,97
159,159,Rust,781,2,48,4,53
160,160,C++,294,18,28,6,57
161,161,JavaScript,613,3,30,7,88
162,162,Python,2349,20,6,1,64
163,163,C#,2338,13,40,7,37
164,164,C++,2182,12,17,7,91
165,165,Go,1083,18,50,1,91
166,166,Python,2319,10,24,10,84
167,167,Java,763,7,4,5,56
168,168,Rust,279,10,13,3,59
169,169,PHP,1527,10,27,3,49
170,170,C#,1398,12,2,2,77
171,171,C#,1366,11,31,4,91
172,172,Rust,1116,3,38,6,84
173,173,JavaScript,252,8,29,7,59
174,174,Swift,2611,19,4,4,50
175,175,Swift,838,2,11,6,50
176,176,Java,2163,1,23,0,83
177,177,Python,1591,12,10,4,77
178,178,PHP,324,4,30,2,53
179,179,Java,2961,19,22,10,89
180,180,JavaScript,2031,1,49,10,97
181,181,Java,1899,7,26,6,54
182,182,JavaScript,658,19,16,4,39
183,183,Rust,449,3,50,5,58
184,184,C++,1692,5,45,4,86
185,185,C#,694,14,39,5,67
186,186,SQL,2406,3,4,3,93
187,187,Rust,1115,19,33,6,89
188,188,C#,1911,4,37,10,61
189,189,C#,2348,15,18,7,70
190,190,SQL,766,2,43,6,44
191,191,C#,1804,1,10,10,87
192,192,Python,990,8,11,1,45
193,193,Java,1983,6,36,3,33
194,194,PHP,1648,13,5,6,86
195,195,Rust,176,16,38,8,53
196,196,JavaScript,2788,10,11,6,42
197,197,C#,128,3,31,10,84
198,198,Go,336,16,29,2,75
199,199,C#,2221,7,12,2,98
200,200,Python,2471,8,8,0,54
201,201,Python,1156,5,6,7,64
202,202,Swift,2132,14,17,9,91
